@,25186
rt,16333
http,10818
के,4400
में,3286
bjp,2823
की,2774
से,2582
ने,2456
is,2316
का,2166
up,1866
को,1861
upelections,1276
चुनाव,1259
पर,1240
election,1173
और,1117
tv9uttarpradesh,1041
myogiadityanath,1013
यादव,965
party,961
है,865
be,815
i,791
amp,781
ha,769
…,756
are,723
upelection,674
candidate,663
cm,650
sp,625
विधानसभा,622
yogiadityanath,621
|,613
breaking,602
vote,598
news18india,594
पार्टी,593
do,586
meghbulletin,575
सिंह,569
लिए,566
yogi,565
bsp,560
ki,550
roflgandhi_,549
watch,547
हैं,545
किया,535
samajwadiparty,533
yadavakhilesh,532
प्रत्याशी,528
congress,524
pradesh,510
अखिलेश,506
poll,487
not,476
’,473
people,469
bjp4up,467
today,460
were,444
bjp4india,444
samajh,443
gayi,440
join,440
😹😹,439
have,439
papa,438
pari,436
yadav,435
ji,435
नहीं,433
..,427
सपा,422
सीट,417
ticket,415
अध्यक्ष,412
state,407
//t.co/untbyxgiwu,407
seat,402
say,392
विधायक,382
upelections2022,381
singh,379
muzaffarnagar,376
day,373
योगी,373
minister,372
contest,368
wa,363
asadowaisi,362
यूपी,362
हो,361
indiatoday,360
leader,358
टिकट,358
pm,357
jayantrld,352
जारी,352
mla,344
politics,342
been,333
campaign,328
breakingnews,327
gauravbh,326
आज,320
hai,317
जी,315
priyankagandhi,314
including,307
कर,305
लड़ेंगे,299
arrested,297
➡अखिलेश,297
now,296
तो,296
mayawati,290
कांग्रेस,286
बीजेपी,283
assembly,281
दिया,281
साथ,278
spread,274
शामिल,268
rld,268
प्रेस,268
एक,268
catch,267
arm,267
sarfaraj,264
sahid,264
मंत्री,263
n't,263
भी,261
planning,260
india,259
win,258
more,258
रहे,257
ndtv,257
vole…,252
adityanath,252
space,251
's,250
interview,249
बड़ा,241
list,240
बाद,235
भाजपा,233
लेकर,232
gandhi,230
bipinandsingh,230
best,229
time,229
samajwadi,225
समाजवादी,223
s,223
मोर्चा,223
चरण,221
परिवर्तन,218
राष्ट्रीय,218
priyanka,212
सीटों,211
हुए,209
वार्ता,208
भागीदारी,207
support,206
लखनऊ,204
just,204
chief,203
लड़ने,203
पहले,202
news,200
incindia,199
myogioffice,199
aimim,198
करेंगे,195
सरकार,195
opinion,195
barabankipolice,194
करने,193
प्रदेश,192
%,192
पुलिस,190
phase,189
नेता,189
पूर्व,187
कि,187
again,187
most,186
muslim,185
youth,182
sir,180
httweets,180
करहल,180
➡सपा,180
प्रसाद,180
others,178
make,178
amitshah,175
fight,175
meet,174
going,172
लिस्ट,171
नामांकन,169
//t.co/elsxesaucv,168
uttarpradeshelections,168
won,167
कुछ,167
march,166
twitter,165
सदर,164
police,164
victory,163
ही,162
jpnadda,162
bspindia,161
upelection2022,160
सकते,159
शिवपाल,158
तक,156
am,155
अपने,155
nationaljanmat,153
exam,151
know,150
government,150
anilasingh_bjp,150
read,149
गए,149
voter,149
मौर्य,148
had,148
news18up,147
want,147
“,147
feb,147
नाम,147
woman,146
being,146
शाह,144
अजय,143
president,143
medium,143
समाज,143
अमित,143
चुनावी,143
उम्मीदवारों,143
होगा,142
सूची,142
attack,141
उत्तर,140
जनता,140
rastriyayogi,140
प्रचार,139
sanjeevchadha8,137
indiaaheadnews,136
history,135
”,135
date,135
lucknow,135
mp,135
get,135
let,134
family,134
मायावती,133
app,133
घोषित,133
क्या,131
video,130
month,130
said,130
ये,130
ahead,128
सीएम,128
अब,128
imshaukatali,128
स्वामी,128
एटा,127
year,127
announced,127
only,126
foundation,125
postponed,125
पेंशन,125
mulayam,125
एलान,125
need,125
ko,125
पत्र,124
बहुजन,123
drgauravgarg4,123
also,123
modi,123
पुरानी,123
come,123
noida,123
बार,123
😄😂,122
rldparty,122
इस,122
out,122
interaction,122
akhilesh,121
होगी,121
see,121
rahulgandhi,121
आयोग,121
प्रत्याशियों,120
नगर,120
abuttarchahiye,119
बैठक,119
पहुंचे,119
rraja_pal,117
dnnhindi,117
away,117
बजे,116
uttar,115
है।,115
missionuttarpradesh2022,115
kapildevbjp,115
bbkpoliceinnews,115
uttarpradesh,114
alliance,114
mathura,114
स्टार,114
victim,114
व,114
गठबंधन,114
home,113
press,113
....,113
गया,113
delhi,113
गांधी,113
amritabhijat,113
wanted,112
कल,112
bhimarmychief,111
वो,109
upelections2022…,109
अपना,109
दल,109
उम्मीदवार,109
so,109
satishacharya,109
चंद्रशेखर,108
rape,108
constituency,108
part,108
tableau,107
खिलाफ,106
*,106
वाले,105
greeting,104
student,104
go,104
akhileshyadav,103
jat,103
जनसभा,103
manifesto,103
abpnews,103
indiachahtahai,103
report,102
education,102
give,102
कहा,102
message,102
जिले,101
secretary,101
aspirant,101
in…,101
लोगों,101
हुई,101
yogiwillbeback,100
issue,100
job,100
khan,100
case,100
वोट,100
mein,100
known,99
//t.…,99
release,99
pmoindia,99
सभी,99
govt,98
please,98
प्रियंका,98
forget,98
vpsecretariat,97
conference,97
district,97
बनाया,97
आरोप,97
मिलने,97
प्रचारकों,97
kanpur,96
घर,96
आउट,96
दूसरे,96
very,96
फरवरी,96
ke,95
जो,93
understand,93
मार्च,93
covid,93
well,92
फिर,92
थाना,92
rally,91
campaigning,91
assemblyelections,91
take,90
set,90
रही,90
स…,89
farmer,89
mlas,89
राम,89
coming,89
request,89
घोषणा,89
‘,89
maurya,88
pc,88
work,88
did,88
has…,88
tet,87
meerut,87
h…,87
आदित्यनाथ,87
remember,86
given,86
mother,86
made,85
injustice,85
आगरा,85
होने,85
condemn,85
here,85
even,84
देश,84
pankhuripathak,84
yogiji,84
office,84
कुमार,84
कोरोना,84
किसानों,84
power,83
teaching,83
कहते,83
होंगे,83
।,83
किए,83
owaisi,83
congratulation,83
picture,82
door,82
development,82
higher,82
नेताओं,81
a…,81
electionswithht,81
dailyinsiderup,81
story,80
look,80
amit,80
कार्यक्रम,80
पहली,80
gut,80
fir,80
cut,80
मेरठ,80
biggest,80
बयान,80
shah,79
politics_2019_,79
electioncommission,79
village,79
passed,79
संकल्प,79
jayant,78
बहन,78
nomination,77
change,77
कार्यकर्ताओं,77
prediction,77
शुक्ला,76
parade,76
abinewsagency,76
ka,76
got,75
ओवैसी,75
majority,75
never,75
अपर्णा,75
objection,75
/…,75
assemblyelections2022,74
came,74
कई,74
गोरखपुर,74
जा,74
promised,74
ट्वीट,74
radhamohanbjp,74
tomorrow,73
vikram_jeet,73
//t.co/psr…,73
song,73
बात,73
ब…,73
क्यों,73
talk,73
था,73
मुख्यमंत्री,73
न,73
satishmisrabsp,72
ground,72
ram,72
दिल्ली,72
hinduism,72
देने,72
baghel,72
security,72
आभार,72
soon,72
assemblyelect…,72
face,71
name,71
kairana,71
रहा,71
book,71
chhattisgarh,71
barrister,71
खान,71
rafiqansarimla,71
register,71
thing,70
गुप्ता,70
कोई,70
rampur,70
बंद,70
sb,70
मतदान,70
predicting,70
लोग,70
yogireturns,69
started,69
school,69
defeat,69
n,69
क्षेत्र,69
gorakhpur,69
monk,69
शुक्रिया,69
एंव,69
violating,69
m,69
मुलायम,68
मैं,68
ना,68
दो,68
से…,68
गठबं…,68
मिला,68
को…,68
ips_santoshm,68
सुप्रीमो,68
टिकट।,68
pending,68
yourvotematters,67
meeting,67
class,67
sadafjafar,67
caste,67
prashantps100,67
send,67
asaduddinowaisi,67
hardoi,67
इस्तीफा,67
cmofficeup,67
b…,67
iti_anudeshak,67
etawahpolice,67
partha2019ls,66
azam,66
service,66
ladkihoonladsaktihoon,66
लड़,66
कानपुर,66
too,66
law,66
बेटे,66
nor…,66
अपनी,66
giving,65
सकती,65
opposition,65
try,65
justice,65
द्वारा,65
फैसला,65
newsbox_india,65
team,64
don,64
चौधरी,64
मोदी,64
हुआ,64
के…,64
क…,64
रहेंगे,63
word,63
का…,63
unemployment,63
अग्निहोत्री,63
question,63
till,63
रैली,63
mediacellsp,63
सामने,63
worker,63
sa…,63
daughter-in-law,63
jaycongress,63
ani,62
address,62
जयंत,62
back,62
t…,62
ऐलान,62
प्रताप,62
girl,61
nawabmalikncp,61
show,61
संजय,61
released,61
अमिताभ,61
हम,61
parliament,61
नई,61
commision,61
जाने,61
टीम,61
गृह,61
agra,60
काम,60
वालों,60
मेरे,60
charge,60
discussion,60
nsitharaman,60
gangster,60
nijisachiv,60
all,60
call,60
|…,60
♥️,60
war,59
श्री,59
then,59
ecisveep,59
ismataraa,59
v,59
प्रमुख,59
life,59
_vivekspeaks,59
the_pinakee,59
way,59
वर्ग,59
vacancy,59
upcoming,58
difference,58
love,58
daughter,58
kumar,58
दलों,58
sitting,58
वीडियो,58
करते,58
lot,58
व्यवस्था,58
जारी।,58
शहर,58
बोले,58
शर्मा,57
always,57
nda,57
➡मैनपुरी,57
लड़ें…,57
delivered,57
gave,57
या,57
कहा-,57
studyforcivils,57
विधान,57
indiatvnews,56
बड़ी,56
सुनील,56
लगा,56
quits,56
पर्चा,56
//t.co/…,56
voting,56
केस,56
ड्यूटी,56
rajvard108singh,56
समेत,55
union,55
fired,55
backstap,55
//t…,55
debating,55
आज़म,55
चौहान,55
पश्चिमी,55
tune,55
uppolls,55
smt,55
participate,55
//t.co/ch7zsjkh0j,55
ashishjaggi_1,54
ye,54
धर्म,54
एलान…,54
mr,54
smritiirani,54
दे,54
राजभर,54
कार्यालय,54
newstrackmedia,54
//t.co/qtbm814s2p,54
परिवार,54
सांसद,54
sharmakhemchand,54
दी,54
जेपी,54
indian_analyzer,54
yogiagain2022,54
mainpuri,53
//t.c…,53
exposing,53
rath,53
toilucknow,53
visited,53
isamarths,53
chandrashekhar,53
officer,53
post,53
spokesperson,53
संहिता,53
area,53
repeating,53
//t.co/3ysn17vuh4,53
bulandshahr,53
done,52
arvindkejriwal,52
live,52
the…,52
सैनी,52
uppolice,52
जनवरी,52
jaat,52
किसान,52
prasad,52
किसी,52
अलीगढ़,52
bjpagain,52
throw,52
everyone,52
adgzoneagra,51
योजना,51
//t.co…,51
kparveen2005,51
shows…,51
कार,51
फेज,51
shooter,51
आचार,51
मौसम,51
केशव,51
doing,51
बसपा,51
conducted,50
crime,50
dalit,50
//t.co/ghphku7udx,50
narendramodi,50
जवाब,50
pe,50
अवैध,50
thequint,50
reject,50
aparnayadav,50
मे,50
➡बीजेपी,50
fielded,50
sab,50
hindu,49
kapilmishra_ind,49
convoy,49
se,49
जाए,49
played,49
doe,49
वर्मा,49
बीएसपी,49
propaganda,49
बुलंदशहर,49
left,49
